app/psauron.py -i data/MANE_smallset_rna.fna -v
psauron score: 31.1
NOTE: alternate reading frames may not contain valid ORFs
description,psauron_is_protein,in_frame_score,forward_frame2_score,forward_frame3_score,reverse_frame1_score,reverse_frame2_score,reverse_frame3_score,mean_out_of_frame_score
NM_000377.3,False,0.1067,0.99363,0.02685,0.09309,0.07308,0.06919,0.25117
NM_000379.4,False,0.04579,0.94984,0.11557,0.12496,0.02573,0.11199,0.26562
NM_000380.4,True,0.98777,0.06108,0.10272,0.01101,0.02863,0.00857,0.0424
NM_000381.4,False,0.11595,0.57076,0.16857,0.17097,0.07782,0.20366,0.23836
NM_000382.3,False,0.04911,0.1141,0.92659,0.15146,0.09146,0.2659,0.3099
NM_000383.4,False,0.05797,0.0855,0.869,0.16331,0.06673,0.09013,0.25493
NM_000384.3,False,0.0284,0.04439,0.99207,0.05237,0.11291,0.06427,0.2532
NM_000386.4,False,0.02712,0.06266,0.97452,0.13941,0.04249,0.02808,0.24943
NM_000387.6,False,0.05471,0.78361,0.13968,0.05396,0.22858,0.14241,0.26965
NM_000388.4,True,0.69994,0.17785,0.07751,0.15618,0.18281,0.11406,0.14168
NM_000389.5,False,0.31868,0.17126,0.16634,0.35459,0.35449,0.19179,0.2477
NM_000390.4,False,0.17093,0.03188,0.7243,0.0662,0.11328,0.06859,0.20085
NM_000391.4,False,0.05462,0.55921,0.14243,0.30518,0.5013,0.33366,0.36836
NM_000392.5,False,0.05435,0.96678,0.05425,0.16195,0.10967,0.02141,0.26281
NM_000393.5,False,0.00981,0.97473,0.18099,0.01079,0.23189,0.01541,0.28276
NM_000394.4,False,0.03225,0.0299,0.68998,0.02279,0.03548,0.01393,0.15842
NM_000395.3,True,0.8437,0.05125,0.07734,0.20206,0.10387,0.15743,0.11839
NM_000396.4,True,0.89201,0.02475,0.08388,0.13559,0.04181,0.03381,0.06397
NM_000397.4,False,0.14655,0.64766,0.06189,0.21611,0.12914,0.09551,0.23006
NM_000398.7,False,0.0503,0.08033,0.70385,0.0863,0.20648,0.14066,0.24353
NM_000399.5,False,0.06432,0.82756,0.34281,0.15705,0.04363,0.06649,0.28751
NM_000400.4,True,0.88055,0.03337,0.08212,0.06661,0.10121,0.03377,0.06342
NM_000404.4,False,0.09154,0.98765,0.05287,0.0882,0.03648,0.12049,0.25714
NM_000405.5,False,0.07537,0.10395,0.35893,0.11738,0.37074,0.49609,0.28942
NM_000406.3,False,0.05125,0.1956,0.14016,0.17433,0.10022,0.16545,0.15515
NM_000407.5,False,0.11486,0.62601,0.00814,0.05029,0.12192,0.19607,0.20049
NM_000408.5,False,0.12526,0.08172,0.78749,0.14086,0.06089,0.12422,0.23904
NM_000410.4,False,0.36722,0.11699,0.10844,0.18235,0.26272,0.15641,0.16538
NM_000412.5,True,0.93321,0.15368,0.06536,0.27968,0.057,0.03535,0.11821
NM_000413.4,False,0.0072,0.06875,0.94097,0.04196,0.06943,0.07329,0.23888
NM_000414.4,False,0.02034,0.99345,0.09607,0.23787,0.0218,0.02011,0.27386
NM_000415.3,False,0.10304,0.1181,0.28756,0.21126,0.15501,0.03533,0.16145
NM_000416.3,False,0.02492,0.97859,0.21913,0.02452,0.18774,0.02354,0.2867
NM_000417.3,False,0.29048,0.16295,0.23985,0.16857,0.09002,0.09177,0.15063
NM_000418.4,True,0.85838,0.04988,0.09431,0.10561,0.1241,0.04859,0.0845
NM_000419.5,False,0.0116,0.07812,0.94355,0.07467,0.04766,0.0626,0.24132
NM_000420.3,False,0.07501,0.95923,0.02889,0.12016,0.02579,0.04388,0.23559
NM_000421.5,False,0.26806,0.06006,0.99905,0.13977,0.00651,0.15668,0.27241
NM_000422.3,True,0.99962,0.00169,0.00945,0.00752,0.00773,0.01568,0.00841
NM_000423.3,True,0.99742,0.09907,0.0045,0.16502,0.00916,0.10275,0.0761
NM_000424.4,False,0.04331,0.00408,0.99588,0.00835,0.21977,0.13282,0.27218
NM_000426.4,True,0.99734,0.17337,0.02091,0.08127,0.08856,0.02003,0.07683
NM_000427.3,False,0.01108,0.93618,0.54204,0.99665,0.02736,0.2525,0.55095
NM_000428.3,False,0.08597,0.05303,0.94622,0.05156,0.15893,0.11514,0.26497
NM_000429.3,False,0.12145,0.85151,0.085,0.06132,0.08658,0.09021,0.23492
NM_000430.4,True,0.66531,0.24056,0.15446,0.14522,0.1278,0.05163,0.14394
NM_000431.4,False,0.0905,0.68728,0.05227,0.08871,0.0802,0.0804,0.19777
NM_000432.4,False,0.00061,0.00521,0.99997,0.02668,0.0257,0.00234,0.21198
NM_000433.4,False,0.06096,0.99301,0.01047,0.11906,0.02264,0.04447,0.23793
NM_000434.4,False,0.34655,0.28007,0.09273,0.2546,0.07331,0.33633,0.20741
NM_000435.3,True,0.96525,0.07624,0.05401,0.03861,0.22134,0.09985,0.09801
NM_000436.4,False,0.04515,0.9332,0.15735,0.10133,0.04966,0.06068,0.26044
NM_000437.4,False,0.24403,0.23513,0.77919,0.10651,0.18663,0.13138,0.28777
NM_000439.5,False,0.10971,0.11004,0.72297,0.04898,0.18021,0.12277,0.237
NM_000440.3,True,0.86072,0.02843,0.09734,0.0672,0.09768,0.09017,0.07616
NM_000441.2,False,0.13664,0.93234,0.05963,0.0998,0.04575,0.05449,0.2384
NM_000442.5,True,0.71209,0.08246,0.20316,0.13662,0.18389,0.08635,0.1385
NM_000443.4,False,0.04747,0.02129,0.99429,0.01564,0.07311,0.09485,0.23984
NM_000444.6,True,0.75064,0.19864,0.14741,0.08737,0.11733,0.0956,0.12927
NM_000446.7,True,0.95521,0.04138,0.06255,0.18302,0.08731,0.05184,0.08522
NM_000447.3,False,0.01874,0.04207,0.96209,0.05632,0.11371,0.02777,0.24039
NM_000448.3,False,0.08428,0.69462,0.06765,0.09645,0.11236,0.24187,0.24259
NM_000450.2,False,0.21266,0.80362,0.09906,0.08183,0.13021,0.04313,0.23157
NM_000451.4,False,0.10296,0.1854,0.3594,0.18561,0.2246,0.1958,0.23016
NM_000452.3,True,0.64285,0.22375,0.08892,0.09772,0.06681,0.19338,0.13412
NM_000453.3,True,0.91542,0.0265,0.06318,0.13028,0.04707,0.27249,0.1079
NM_000454.5,False,0.01936,0.00305,0.70468,0.29797,0.00216,0.05757,0.21309
NM_000455.5,False,0.04455,0.09891,0.69586,0.16668,0.12385,0.1163,0.24032
NM_000458.4,False,0.22367,0.95264,0.06051,0.07158,0.03836,0.07673,0.23996
NM_000459.5,True,0.98166,0.1403,0.08371,0.07645,0.06987,0.03502,0.08107
NM_000460.4,False,0.08745,0.13431,0.71552,0.08503,0.13768,0.0567,0.22585
NM_000463.3,True,0.97074,0.03702,0.04463,0.06487,0.07478,0.03157,0.05058
NM_000465.4,True,0.64724,0.06306,0.10968,0.11768,0.11699,0.10519,0.10252
NM_000466.3,False,0.03211,0.96887,0.07748,0.03342,0.06442,0.04358,0.23755
NM_000474.4,True,0.92817,0.02401,0.09623,0.01802,0.15359,0.11384,0.08114
NM_000475.5,False,0.22771,0.01817,0.03208,0.04788,0.09127,0.07158,0.0522
NM_000476.3,False,0.06943,0.9386,0.12643,0.02652,0.08252,0.18404,0.27162
NM_000477.7,False,0.03498,0.02154,0.99571,0.02273,0.05469,0.02539,0.22401
NM_000478.6,False,0.08147,0.96376,0.01379,0.03949,0.08973,0.02085,0.22552
NM_000479.5,False,0.05836,0.78948,0.00693,0.08552,0.0948,0.0252,0.20039
NM_000481.4,False,0.04832,0.04195,0.71069,0.05257,0.06214,0.07399,0.18827
NM_000482.4,False,0.00228,0.03675,0.99984,0.00406,0.04774,0.01448,0.22057
NM_000483.5,False,0.00479,0.10631,0.99853,0.07133,0.02057,0.10854,0.26106
NM_000484.4,True,0.96613,0.04257,0.08114,0.03167,0.11919,0.0539,0.0657
NM_000485.3,False,0.003,0.11717,0.95086,0.01404,0.05082,0.06188,0.23895
NM_000486.6,False,0.12437,0.32029,0.05664,0.10877,0.06666,0.32623,0.17572
NM_000487.6,False,0.0813,0.49871,0.069,0.11462,0.19098,0.12308,0.19928
NM_000488.4,False,0.00628,0.0116,0.9917,0.11519,0.0085,0.07557,0.24051
NM_000489.6,False,0.07917,0.04182,0.98441,0.02489,0.12198,0.03932,0.24248
NM_000490.5,False,0.00064,0.03101,0.98262,0.0723,0.00106,0.09005,0.23541
NM_000492.4,False,0.12571,0.93717,0.09355,0.05717,0.06171,0.04681,0.23928
NM_000493.4,False,0.20335,0.02297,0.94776,0.01739,0.13248,0.02322,0.22876
NM_000494.4,False,0.02168,0.9921,0.27299,0.03388,0.08484,0.30278,0.33732
NM_000496.3,True,0.9891,0.00142,0.0142,0.00601,0.03957,0.00382,0.013
NM_000497.4,False,0.3479,0.03504,0.3179,0.08303,0.07437,0.11567,0.1252
NM_000498.3,True,0.53363,0.04217,0.13299,0.03115,0.06278,0.11371,0.07656
NM_000500.9,False,0.02923,0.06876,0.91832,0.03436,0.02193,0.03423,0.21552
NM_000501.4,True,0.84963,0.2095,0.00774,0.03759,0.07423,0.73921,0.21365
NM_000502.6,False,0.09576,0.88012,0.05016,0.25645,0.04099,0.02296,0.25013
NM_000503.6,True,0.92938,0.09376,0.04955,0.22725,0.05395,0.06378,0.09766
NM_000504.4,True,0.99487,0.01526,0.01118,0.04585,0.02445,0.00662,0.02067
NM_000505.4,False,0.18237,0.80803,0.02229,0.03251,0.09339,0.02056,0.19535
NM_000506.5,False,0.01769,0.01963,0.98145,0.07176,0.01825,0.13039,0.2443
NM_000507.4,False,0.00767,0.99848,0.00729,0.06188,0.01178,0.0112,0.21813
NM_000511.6,False,0.07896,0.69567,0.0703,0.1497,0.17323,0.16323,0.25043
NM_000512.5,False,0.08152,0.91858,0.05861,0.16657,0.04734,0.07339,0.2529
NM_000513.2,False,0.04348,0.82498,0.04932,0.09516,0.03099,0.02185,0.20446
NM_000514.4,False,0.38285,0.12636,0.30834,0.09407,0.15767,0.17509,0.17231
NM_000515.5,True,0.99205,0.00198,0.27231,0.00424,0.00603,0.00834,0.05858
NM_000516.7,True,0.99515,0.01462,0.03441,0.0701,0.01525,0.01529,0.02993
NM_000517.6,False,0.00531,0.9915,0.00013,0.00399,0.0022,0.00103,0.19977
NM_000518.5,False,4e-05,0.00202,0.98156,0.01522,0.00322,0.0246,0.20532
NM_000519.4,False,4e-05,0.01515,0.99422,0.00812,0.01613,0.00717,0.20816
NM_000520.6,True,0.73656,0.10872,0.11271,0.47045,0.14057,0.20156,0.2068
NM_000521.4,False,0.01627,0.99146,0.18217,0.10067,0.0631,0.04371,0.27622
NM_000522.5,False,0.07613,0.16219,0.4749,0.10125,0.29733,0.08511,0.22415
NM_000523.4,False,0.08903,0.17949,0.59245,0.2326,0.16838,0.13491,0.26156
NM_000524.4,False,0.48066,0.05856,0.09026,0.15572,0.17333,0.10714,0.117
NM_000525.4,False,0.0562,0.47916,0.06537,0.10625,0.08272,0.04491,0.15568
NM_000526.5,False,0.00886,0.99931,0.00363,0.03191,0.01577,0.00815,0.21175
NM_000527.5,False,0.09251,0.09953,0.92501,0.07797,0.04161,0.12931,0.25469
NM_000528.4,False,0.00883,0.06431,0.97001,0.05566,0.0184,0.03595,0.22887
NM_000529.2,False,0.3193,0.09086,0.12388,0.05507,0.09168,0.0627,0.08484
NM_000530.8,True,0.95359,0.13899,0.03696,0.05283,0.33821,0.09788,0.13297
NM_000531.6,True,0.97312,0.02236,0.07927,0.24044,0.01667,0.02543,0.07684
NM_000532.5,True,0.99527,0.03643,0.00704,0.04952,0.00705,0.37973,0.09595
NM_000533.5,False,0.44507,0.22246,0.11096,0.05773,0.05949,0.28973,0.14807
NM_000534.5,False,0.02982,0.06972,0.99477,0.0227,0.0106,0.05368,0.23029
NM_000535.7,True,0.78899,0.0682,0.08915,0.11015,0.1223,0.25422,0.1288
NM_000536.4,True,0.96971,0.05816,0.01636,0.17126,0.2095,0.01451,0.09395
NM_000537.4,False,0.02179,0.00358,0.99542,0.17368,0.00573,0.05877,0.24744
NM_000538.4,False,0.08675,0.30542,0.05172,0.06807,0.20439,0.08808,0.14354
NM_000539.3,False,0.12193,0.0413,0.80499,0.05799,0.15679,0.03179,0.21857
NM_000540.3,False,0.03635,0.98498,0.01173,0.04299,0.04435,0.0404,0.22489
NM_000541.5,False,0.04328,0.9947,0.00534,0.03345,0.0174,0.06666,0.22351
NM_000542.5,False,0.18925,0.48719,0.10468,0.07228,0.13481,0.07643,0.17508
NM_000543.5,False,0.03619,0.09131,0.91581,0.07925,0.07738,0.28563,0.28987
NM_000545.8,False,0.07914,0.9575,0.03495,0.07669,0.06955,0.05463,0.23866
NM_000546.6,False,0.04379,0.86408,0.07178,0.29488,0.42008,0.04782,0.33973
NM_000548.5,False,0.02103,0.06558,0.95445,0.05415,0.03871,0.03338,0.22926
NM_000549.5,True,0.94115,0.22788,0.00032,0.94286,0.01326,0.00259,0.23738
NM_000550.3,False,0.11773,0.02992,0.78265,0.15163,0.04203,0.1215,0.22555
NM_000551.4,False,0.12665,0.30253,0.21804,0.20807,0.26648,0.21614,0.24225
NM_000552.5,False,0.04252,0.99055,0.02727,0.1772,0.04152,0.02197,0.2517
NM_000553.6,True,0.89341,0.07257,0.0614,0.05237,0.0986,0.07346,0.07168
NM_000554.6,False,0.12172,0.61948,0.12453,0.28694,0.16189,0.22619,0.2838
NM_000557.5,True,0.94438,0.03641,0.04579,0.04733,0.08922,0.07932,0.05961
NM_000558.5,False,0.00535,0.99139,0.00011,0.00096,0.00333,0.00174,0.1995
NM_000559.3,False,0.00015,0.00192,0.99953,0.01139,0.00542,0.00127,0.20391
NM_000560.4,False,0.04316,0.62732,0.12809,0.07809,0.11997,0.05319,0.20133
NM_000561.4,True,0.95293,0.00242,0.08005,0.01909,0.01035,0.04782,0.03195
NM_000562.3,True,0.96428,0.15002,0.02739,0.06379,0.06164,0.02592,0.06575
NM_000565.4,False,0.17053,0.11361,0.55098,0.2469,0.09228,0.12532,0.22582
NM_000566.4,False,0.03016,0.04136,0.82716,0.0407,0.02926,0.24237,0.23617
NM_000567.3,False,0.06151,0.0704,0.63301,0.17151,0.30726,0.08317,0.25307
NM_000569.8,False,0.05821,0.79279,0.47408,0.10229,0.04465,0.47689,0.37814
NM_000572.3,False,0.03965,0.40416,0.95587,0.02501,0.24708,0.11824,0.35007
NM_000574.5,False,0.09318,0.68461,0.10883,0.02874,0.08317,0.03193,0.18746
NM_000575.5,False,0.04937,0.01448,0.97673,0.24588,0.05913,0.18407,0.29606
NM_000576.3,True,0.90026,0.02307,0.08344,0.02451,0.03058,0.05677,0.04367
NM_000578.4,True,0.8771,0.07546,0.07026,0.08809,0.05564,0.13718,0.08533
NM_000581.4,True,0.99303,0.0038,0.02985,0.02456,0.00693,0.04057,0.02114
NM_000583.4,False,0.02648,0.9974,0.02443,0.03075,0.05473,0.24721,0.27091
NM_000584.4,False,0.1636,0.0533,0.02921,0.02304,0.02238,0.03545,0.03268
NM_000585.5,False,0.36963,0.06464,0.04349,0.1491,0.05927,0.04759,0.07282
NM_000586.4,True,0.75935,0.01464,0.06009,0.03705,0.06214,0.0265,0.04009
NM_000587.4,True,0.81186,0.28225,0.05821,0.10838,0.11669,0.14967,0.14304
NM_000588.4,True,0.81768,0.95244,0.0121,0.10189,0.11913,0.07079,0.25127
NM_000589.4,False,0.00247,0.02027,0.97672,0.00578,0.10621,0.00078,0.22195
NM_000590.2,False,0.02929,0.25539,0.00573,0.0055,0.07174,0.00991,0.06965
NM_000591.4,False,0.0093,0.05087,0.94958,0.05378,0.03146,0.05894,0.22893
NM_000593.6,False,0.02484,0.10062,0.93861,0.10287,0.04452,0.05246,0.24782
NM_000594.4,True,0.92373,0.09657,0.3412,0.07077,0.24535,0.07831,0.16644
NM_000595.4,False,0.12564,0.09098,0.31683,0.01843,0.09192,0.05501,0.11463
NM_000596.4,True,0.76215,0.04432,0.05971,0.10389,0.06443,0.05048,0.06456
NM_000597.3,False,0.01828,0.03783,0.91503,0.05816,0.02354,0.05285,0.21748
NM_000598.5,True,0.63715,0.0692,0.07723,0.20412,0.15833,0.06875,0.11553
NM_000599.4,True,0.52373,0.14325,0.15244,0.17078,0.20332,0.11898,0.15775
NM_000600.5,True,0.83183,0.01043,0.07945,0.02369,0.01604,0.0268,0.03128
NM_000601.6,False,0.08017,0.37421,0.25628,0.05529,0.17156,0.07025,0.18552
NM_000602.5,False,0.18061,0.69769,0.06948,0.04827,0.0532,0.09721,0.19317
NM_000603.5,False,0.01846,0.06174,0.90245,0.05322,0.04441,0.05008,0.22238
NM_000605.4,True,0.89548,0.14342,0.02818,0.04758,0.06913,0.02665,0.06299
NM_000606.3,True,0.56302,0.00946,0.05346,0.00234,0.03212,0.06126,0.03173
NM_000607.4,True,0.99786,0.00288,0.00617,0.00135,0.0028,0.01656,0.00595
NM_000608.4,True,0.99071,0.00214,0.01508,0.03657,0.01077,0.00484,0.01388
NM_000610.4,False,0.09034,0.70842,0.09187,0.17593,0.27897,0.09444,0.26993
NM_000611.6,False,0.28199,0.29943,0.39022,0.26101,0.16028,0.20606,0.2634
NM_000612.6,True,0.60948,0.20678,0.3583,0.14537,0.16337,0.16052,0.20687
NM_000613.3,True,0.96413,0.03439,0.05467,0.35196,0.10435,0.04113,0.1173
NM_000614.4,False,0.42441,0.41879,0.05494,0.05861,0.12024,0.33013,0.19654
NM_000616.5,False,0.44647,0.6135,0.04471,0.05407,0.05732,0.13068,0.18006
NM_000617.3,False,0.09468,0.0596,0.84376,0.15103,0.14189,0.16339,0.27193
NM_000618.5,False,0.08367,0.18399,0.27704,0.20334,0.13826,0.14155,0.18883
